Original-name,Fixed-name,office sought,General win/lost,Lost in primary,Party,City,Current elected official,Year,Do they have a pac
Zac Pac,"Zachary, Jason",House of Representatives 14,,,Republican,Knoxville,Yes,Not applicable,"Yes, Zac Pac"
Yellow Rose Pac,"Kyle, Sara",Senate District 30,,,Democrat,Memphis,Yes,Not applicable,"Yes, Yellow Rose Pac"
West Tn Cream Of The Crop,"Wirgau, Timothy",House of Representatives District 75,,,Republican,Paris,No,Not applicable,"Yes, West Tn Cream Of The Crop"
Tristar Pac,"Jernigan, Darren",House of Representatives 60,,,Democrat,Old Hickory,Yes,Not applicable,"Yes, Tristar Pac"
Todd For A Better Tennessee Pac,"Todd, Chris",House of Representatives 73,,,Republican,Jackson,Yes,Not applicable,"Yes, Todd For A Better Tennessee Pac"
Tn-K Pac,"Brooks, Kevin",House of Representatives District 24,,,Republican,Cleveland,No,Not applicable,"Yes, Tn-K Pac"
The Overbey Pac,"Overbey, Doug",Senate District 2,,,Republican,Maryville,No,Not applicable,"Yes, The Overbey Pac"
Tennessee'S Tomorrow Pac,"Yarbro, Jeff",Senate District 21,,,Democrat,Nashville,Yes,Not applicable,"Yes, Tennessee'S Tomorrow Pac"
Tennessee Victory Pac,"Roberts, Kerry",Senate District 23,,,Republican,Springfield,Yes,Not applicable,"Yes, Tennessee Victory Pac"
Tennessee Tomorrow,Tennessee Democratic Caucus,Not applicable,,,Democrat,Not applicable,"Yes, party PAC",Not applicable,"Yes, Tennessee Tomorrow"
Tennessee Republican Caucus,Tennessee Republican Caucus,Not applicable,,,Republican,Not applicable,"Yes, party PAC",Not applicable,"Yes, Tennessee Republican Caucus"
Tennessee Legislative Democrats,Tennessee Democratic Caucus,Not applicable,,,Democrat,Not applicable,"Yes, party PAC",Not applicable,"Yes, Tennessee Legislative Democrats"
Tennessee Legislative Campaign Committee,Tennessee Republican Caucus,Not applicable,,,Republican,Not applicable,"Yes, party PAC",Not applicable,"Yes, Tennessee Legislative Campaign Committee"
Tennessee Forward Political Action Committee,"Stewart, Mike",House of Representatives District 52,,,Democrat,Nashville,No,Not applicable,"Yes, Tennessee Forward Political Action Committee"
Tennessee Democratic Party,Tennessee Democratic Caucus,Not applicable,,,Democrat,Not applicable,"Yes, party PAC",Not applicable,"Yes, Tennessee Democratic Party"
Tennessee Black Caucus Of State Legislators,Tennessee Democratic Caucus,Not applicable,,,Democrat,Not applicable,"Yes, party PAC",Not applicable,"Yes, Tennessee Black Caucus Of State Legislators"
Tennessee Black Caucus Of State Legislators,Tennessee Democratic Caucus,Not applicable,,,Democrat,Not applicable,"Yes, party PAC",Not applicable,"Yes, Tennessee Black Caucus Of State Legislators"
Tennesseans For Good State Government,"Harwell, Beth",Governor,,,Republican,Nashville,No,Not applicable,"Yes, Tennesseans For Good State Government"
Stevens Pac,"Stevens, John",Senate District 24,,,Republican,Huntingdon,Yes,Not applicable,"Yes, Stevens Pac"
Sheila'S Liberty Pac,"Butt, Sheila",House of Representatives District 64,,,Republican,Columbia,No,Not applicable,"Yes, Sheila'S Liberty Pac"
