Original-donor-name,Company-affiliated-name,Bought out/name change
1St&Tenn Political Action Committee,Tennessee Titans,
3M,3M Company,
3M Company,3M Company,
50Can Action Fund,TennesseeCan,
50Can Action Fund - Tennesseans For Putting Students First Pac,TennesseeCan,
50Can Action Fund Inc.,TennesseeCan,
"50Can Action Fund, Inc.",TennesseeCan,
"50Can Action Fund, Inc. -  Dba Tennesseecan Action Fund",TennesseeCan,
"50Can Action Fund, Inc. - Tennesseecan Action Fund/Studentsfirst",TennesseeCan,
50Can Inc - Dba Tennesseecan,TennesseeCan,
50Can Inc Dba Studentsfirst Tennessee,TennesseeCan,
Aaa Auto Club South Inc.,AAA,
Aaa East Tn,AAA,
Aaa Tennessee,AAA,
Aarp,AARP,
Acadia,Acadia Healthcare,
Acadia Healthcare,Acadia Healthcare,
"Acadia Healthcare Co, Inc",Acadia Healthcare,
"Acadia Healthcare Company, Inc.",Acadia Healthcare,
Acadia Healthcare Inc.,Acadia Healthcare,
Acadia Healthcare Pac Tn-C,Acadia Healthcare,
"Act, Inc.",Act. Inc,
"Act, Inc. - East Region",Act. Inc,
Ad Hoc Committee Of The Tennesse Judicial Conference,Tennesse Judicial Conference,
Ad Hoc Committee Of The Tennessee Judicial Conference,Tennesse Judicial Conference,
Advance Financial Llc,Advance Financial,
"Advance Financial- Affilated Pac (Advance Pac, Tn Advance Financial Pac, Flex Pac, Tennesee First)",Advance Financial,
Advance Pac,Advance Financial,
Aegis Sciences Corporation,Aegis Sciences Corporation,
Agl Resources / Chattanooga Gas Company,Southern Company Gas,
Aia Tennessee,AIA Tennessee,
Aia Tn,AIA Tennessee,
"Air Evac Ems, Inc.",Air Evac Lifeteam,
Air Evac Lifeteam,Air Evac Lifeteam,
"Airbnb, Inc.",Airbnb,
"Allergan Usa, Inc.",Allergen,
"Allergan, Inc.",Allergen,
Allergy Associates Pa,Allergen,
Altria Client Services Inc. And Its Affiliates,Altria Group,
Altria Client Services Llc,Altria Group,
Altria Client Services Llc And Its Affiliates,Altria Group,
Altria Group,Altria Group,
Alzheimer'S Association,Alzheimer's Association,
"Alzheimer'S Tennessee, Inc",Alzheimer's Association,
Amazon,Amazon,
Amazon .Com,Amazon,
Amazon (Exp Refund -Tv And Wall Mount)),Amazon,
Amazon Corporate Llc,Amazon,
Amazon.Com,Amazon,
Amazon.Com Services Llc,Amazon,
"Amazon.Com Services, Inc.",Amazon,
"American Cancer Society Cancer Action Network, Inc.",American Cancer Society,
"American Cancer Society, Mid-South Div.",American Cancer Society,
American Civil Liberties Union Of Tennessee,ACLU,
"American Civil Liberties Union, Inc.",ACLU,
American Council Of Engineering Companies Of Tn,American Council of Engineering Companies of Tennessee,
American Express,American Express,
American Express Co.,American Express,
American Fair Credit Council C/O Multistate Associates,American Fair Credit Council C/O Multistate Associates,
American Fair Credit Council C/O Multistate Associates Inc.,American Fair Credit Council C/O Multistate Associates,
American Federation For Children,Tennessee Federation For Children,
American Heart Association,American Heart Association,
"American International Group, Inc.","American International Group, ",
American Kratom Association,American Kratom Association,
American Kratom Association C/O Multistate Associates Inc.,American Kratom Association,
American Lung Association,American Lung Association,
American Lung Association Of The Midland States,American Lung Association,
American Petroleum Institute,American Petroleum Institute,
American Resort Development Association,American Resort Development Association,
Americans For Prosperity,Americans For Prosperity,
Amerigroup,Elevance Health - Wellpoint,Yes
Amerigroup Community Care,Elevance Health - Wellpoint,Yes
Amerigroup Corporation,Elevance Health - Wellpoint,Yes
Amerigroup Corporaton Pac (Amerigroup Pac),Elevance Health - Wellpoint,Yes
Amerigroup Pac,Elevance Health - Wellpoint,Yes
"Amerigroup Tennessee, Inc.",Elevance Health - Wellpoint,Yes
"Amylin Pharmaceuticals, Inc.",Amylin Pharmaceuticals,
"Amylin Pharmaceuticals, Llc",Amylin Pharmaceuticals,
Aneuser Busch,Anheuser-Busch,
Anheuser - Busch,Anheuser-Busch,
Anheuser Busch,Anheuser-Busch,
Anheuser Busch Co,Anheuser-Busch,
